S_No,Zone_Name,Road_Name,Road_Category,Zone_Type,Simple_Accidents,Fatal_Accidents,Total_Accidents,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_Cyclist_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Daytime_Zone,Is_Nighttime_Zone
34,MOOL CHAND,RING ROAD,RING ROAD,INTERSECTION,12,4,16,0.25,HIGH,0,1,0,0,1,0,1
35,JAHANGIR PURI METRO STATION,GTK ROAD,GTK ROAD,METRO STATION,10,4,14,0.286,HIGH,0,0,0,1,1,0,0
36,AKSHARDHAM MANDIR,NH-24,NATIONAL HIGHWAY,INTERSECTION,9,4,13,0.308,HIGH,1,0,0,0,0,0,1
37,RAJOURI GARDEN,RING ROAD,RING ROAD,INTERSECTION,7,4,11,0.364,HIGH,0,0,0,0,1,0,1
38,MAYA PURI CHOWK,RING ROAD,RING ROAD,INTERSECTION,7,4,11,0.364,HIGH,0,0,0,0,1,0,1
39,RAJGHAT,RING ROAD,RING ROAD,ROAD STRETCH,7,4,11,0.364,HIGH,1,0,0,0,1,0,1
40,SHAHBAD DAIRY,BAWANA ROAD,OTHER,HIGHWAY VILLAGE,6,4,10,0.4,HIGH,0,0,0,0,1,0,0
41,NIGAM BODH GHAT,RING ROAD,RING ROAD,ROAD STRETCH,6,4,10,0.4,HIGH,0,0,0,0,1,0,1
42,PUSTA NEW USMANPUR,YAMUNA PUSTA ROAD,PUSTA ROAD,ROAD STRETCH,5,4,9,0.444,HIGH,0,0,0,0,0,0,0
43,BUS STAND JAGAT PURI,ROAD NO 57,OTHER,BUS-STAND,5,4,9,0.444,HIGH,1,0,0,0,1,0,1
44,HOTEL BULBUL MUNDKA,ROHTAK ROAD,ROHTAK ROAD,ROAD STRETCH,5,4,9,0.444,HIGH,0,0,0,0,0,1,0
45,GOYALA DAIRY VILLAGE,GOYLA DAIRY ROAD,OTHER,HIGHWAY VILLAGE,5,4,9,0.444,HIGH,0,0,0,0,0,0,1
46,SINGHOLA VILLAGE,GTK ROAD,GTK ROAD,HIGHWAY VILLAGE,5,4,9,0.444,HIGH,0,0,0,0,1,0,1
47,LADO SARAI CROSSING,MEHRAULI BADARPUR RD,MEHRAULI BADARPUR ROAD,T-INTERSECTION,5,4,9,0.444,HIGH,0,0,0,0,0,0,0
48,BRAR SQUARE,RING ROAD,RING ROAD,INTERSECTION,4,4,8,0.5,HIGH,0,0,0,0,1,0,0
